Date,Home,Away,Attendance,Venue
2017-08-20,Chicago Red Stars,FC Kansas City,"3,314",SeatGeek Stadium
2017-08-26,FC Kansas City,Orlando Pride,"2,812",Mercy Victory Field
2017-08-26,OL Reign,Portland Thorns FC,"6,041",UW Medicine Pitch at Memorial Stadium
2017-08-26,Washington Spirit,Chicago Red Stars,"3,469",Maureen Hendricks Field Maryland SoccerPlex
2017-08-26,NJ/NY Gotham FC,Boston Breakers,"2,244",TBD
2017-08-30,Washington Spirit,North Carolina Courage,"2,365",Maureen Hendricks Field Maryland SoccerPlex
2017-09-02,Portland Thorns FC,Washington Spirit,"19,141",Providence Park
2017-09-02,Orlando Pride,Boston Breakers,"5,413",Inter&Co Stadium
2017-09-03,FC Kansas City,NJ/NY Gotham FC,"1,571",Mercy Victory Field
2017-09-03,Chicago Red Stars,North Carolina Courage,"3,745",SeatGeek Stadium
2017-09-03,Houston Dash,OL Reign,"1,258",Shell Energy Stadium
2017-09-07,Orlando Pride,OL Reign,"4,341",Inter&Co Stadium
2017-09-09,FC Kansas City,Chicago Red Stars,963,Mercy Victory Field
2017-09-09,North Carolina Courage,Houston Dash,"4,702",WakeMed Soccer Park
2017-09-10,Boston Breakers,Portland Thorns FC,"3,015",Jordan Field
2017-09-10,NJ/NY Gotham FC,Washington Spirit,"2,008",TBD
2017-09-23,Orlando Pride,Portland Thorns FC,"7,353",Inter&Co Stadium
2017-09-23,Washington Spirit,Boston Breakers,"3,475",Maureen Hendricks Field Maryland SoccerPlex
2017-09-23,Houston Dash,Chicago Red Stars,"6,707",Shell Energy Stadium
2017-09-24,NJ/NY Gotham FC,North Carolina Courage,"2,690",TBD
2017-09-24,OL Reign,FC Kansas City,"4,991",UW Medicine Pitch at Memorial Stadium
2017-09-27,Houston Dash,North Carolina Courage,"2,905",Shell Energy Stadium
2017-09-30,Portland Thorns FC,Chicago Red Stars,"21,144",Providence Park
2017-09-30,Boston Breakers,NJ/NY Gotham FC,"3,497",Jordan Field
2017-09-30,Washington Spirit,OL Reign,"3,780",Maureen Hendricks Field Maryland SoccerPlex
2017-09-30,North Carolina Courage,Orlando Pride,"7,020",WakeMed Soccer Park
2017-10-01,FC Kansas City,Houston Dash,"1,312",Mercy Victory Field
2017-10-07,Portland Thorns FC,Orlando Pride,"18,193",Providence Park
2017-10-08,North Carolina Courage,Chicago Red Stars,"10,017",WakeMed Soccer Park
2017-10-14,North Carolina Courage,Portland Thorns FC,"8,124",Inter&Co Stadium
2018-03-24,North Carolina Courage,Portland Thorns FC,"4,210",WakeMed Soccer Park
2018-03-24,Orlando Pride,Utah Royals FC,"9,017",Inter&Co Stadium
2018-03-24,OL Reign,Washington Spirit,"3,561",UW Medicine Pitch at Memorial Stadium
2018-03-25,Houston Dash,Chicago Red Stars,"5,846",Shell Energy Stadium
2018-03-30,Houston Dash,Utah Royals FC,"3,433",Shell Energy Stadium
2018-03-31,North Carolina Courage,NJ/NY Gotham FC,"4,078",WakeMed Soccer Park
2018-03-31,Washington Spirit,Orlando Pride,"4,989",Maureen Hendricks Field Maryland SoccerPlex
2018-03-31,Chicago Red Stars,Portland Thorns FC,"13,678",SeatGeek Stadium
2018-04-14,Utah Royals FC,Chicago Red Stars,"19,203",America First Field
2018-04-14,Washington Spirit,North Carolina Courage,"3,458",Maureen Hendricks Field Maryland SoccerPlex
2018-04-15,NJ/NY Gotham FC,OL Reign,"1,913",TBD
2018-04-15,Portland Thorns FC,Orlando Pride,"16,466",Providence Park
2018-04-18,North Carolina Courage,OL Reign,"3,011",WakeMed Soccer Park
2018-04-18,Chicago Red Stars,Houston Dash,"2,327",SeatGeek Stadium
2018-04-20,Portland Thorns FC,Washington Spirit,"14,485",Providence Park
2018-04-21,North Carolina Courage,Utah Royals FC,"3,958",WakeMed Soccer Park
2018-04-21,Chicago Red Stars,NJ/NY Gotham FC,"2,413",SeatGeek Stadium
2018-04-22,Orlando Pride,Houston Dash,"3,890",Inter&Co Stadium
2018-04-28,Houston Dash,North Carolina Courage,"3,591",Shell Energy Stadium
2018-04-28,Washington Spirit,Chicago Red Stars,"3,448",Maureen Hendricks Field Maryland SoccerPlex
2018-04-28,Orlando Pride,OL Reign,"5,058",Inter&Co Stadium
2018-04-28,Utah Royals FC,Portland Thorns FC,"8,446",America First Field
2018-05-02,Chicago Red Stars,Orlando Pride,"2,027",SeatGeek Stadium
2018-05-05,Portland Thorns FC,OL Reign,"16,054",Providence Park
2018-05-05,NJ/NY Gotham FC,Houston Dash,"2,065",TBD
2018-05-05,Utah Royals FC,Washington Spirit,"7,551",America First Field
2018-05-06,North Carolina Courage,Chicago Red Stars,"4,068",WakeMed Soccer Park
2018-05-09,Houston Dash,Portland Thorns FC,"2,668",Shell Energy Stadium
2018-05-09,Utah Royals FC,Orlando Pride,"7,137",America First Field
2018-05-12,Portland Thorns FC,Orlando Pride,"17,115",Providence Park
2018-05-12,North Carolina Courage,Washington Spirit,"5,866",WakeMed Soccer Park
2018-05-12,Chicago Red Stars,Houston Dash,"2,372",SeatGeek Stadium
2018-05-12,OL Reign,NJ/NY Gotham FC,"3,607",UW Medicine Pitch at Memorial Stadium
2018-05-19,Utah Royals FC,Houston Dash,"8,323",America First Field
2018-05-19,NJ/NY Gotham FC,North Carolina Courage,"1,923",TBD
2018-05-19,Washington Spirit,Portland Thorns FC,"3,284",Maureen Hendricks Field Maryland SoccerPlex
2018-05-19,OL Reign,Chicago Red Stars,"3,597",UW Medicine Pitch at Memorial Stadium
2018-05-23,Orlando Pride,North Carolina Courage,"3,104",Inter&Co Stadium
2018-05-23,Washington Spirit,NJ/NY Gotham FC,"2,433",Maureen Hendricks Field Maryland SoccerPlex
2018-05-23,Houston Dash,OL Reign,"2,376",Shell Energy Stadium
2018-05-25,Portland Thorns FC,Utah Royals FC,"15,113",Providence Park
2018-05-26,Chicago Red Stars,Orlando Pride,"5,047",SeatGeek Stadium
2018-05-26,NJ/NY Gotham FC,OL Reign,"2,814",TBD
2018-05-27,Houston Dash,Washington Spirit,"4,045",Shell Energy Stadium
2018-05-30,Portland Thorns FC,North Carolina Courage,"15,018",Providence Park
2018-06-02,NJ/NY Gotham FC,Utah Royals FC,"2,229",TBD
2018-06-02,Washington Spirit,Chicago Red Stars,"3,199",Maureen Hendricks Field Maryland SoccerPlex
2018-06-03,Houston Dash,North Carolina Courage,"2,941",Shell Energy Stadium
